172.105.184.208:8001|Australia|Western Australia|Perth
147.139.138.14:3128|Indonesia|Jakarta|Jakarta
8.215.29.210:3128|Indonesia|Jakarta|Jakarta
103.86.49.151:3128|Thailand|Bangkok|Bangkok
122.224.56.198:7302|?|?|?
218.89.37.196:7302|?|?|?
130.41.15.76:8080|United States|Colorado|Denver
173.208.249.76:8080|United States|Missouri|Kansas City
183.111.25.250:8080|South Korea|Gyeonggi-do|Seongnam-si
193.53.87.215:33128|Turkey|Bursa|Bursa
8.214.4.72:33080|Singapore|North West|Singapore
193.53.87.222:33128|Turkey|Bursa|Bursa
193.53.87.219:33128|Turkey|Bursa|Bursa
176.192.70.58:8022|Russia|Moscow|Moscow
158.69.53.132:9300|Netherlands|North Holland|Oude Meer
176.196.250.86:3128|Russia|Kemerovo Oblast|Kemerovo
103.131.19.137:3128|Indonesia|Jakarta|Jakarta
193.53.87.220:33128|Turkey|Bursa|Bursa
103.106.219.77:8080|Indonesia|East Java|Pasuruan
200.12.133.6:8080|Argentina|Mendoza|Mendoza
103.38.5.226:83|India|Bihar|Darbhanga
103.145.130.150:8080|Indonesia|East Java|Sidoarjo
217.180.218.36:8080|United States|Michigan|Lansing
190.107.233.233:999|Ecuador|Provincia de Pichincha|Hacienda Ibarra
38.65.139.66:999|Mexico|Hidalgo|Ixmiquilpan
175.101.85.65:8080|India|Andhra Pradesh|Vijayawada
139.255.41.118:8080|Indonesia|Jakarta|Jakarta
80.244.230.86:8080|Russia|Moscow|Moscow
119.2.41.85:8080|Indonesia|Jakarta|Jakarta
119.42.152.252:8080|India|National Capital Territory of Delhi|Delhi
190.113.41.164:999|Dominican Republic|Provincia de Santo Domingo|Santo Domingo Este
103.220.204.101:59570|Bangladesh|Chittagong|Feni
1.179.148.9:55636|Thailand|Nakhon Pathom|Sam Phran
110.78.114.161:8080|Thailand|Chiang Mai|Chiang Mai
200.54.101.222:999|Chile|Santiago Metropolitan|Santiago
140.227.80.237:3180|Japan|Tokyo|Chiyoda
190.248.153.162:8080|Colombia|Departamento de Arauca|Arauca
196.44.117.51:8080|Nigeria|Akwa Ibom State|Uyo
218.1.142.176:57114|China|Shanghai|Shanghai
186.249.5.10:9090|Brazil|Minas Gerais|Belo Horizonte
103.172.70.26:9191|Indonesia|West Java|Karawang
65.21.141.242:10100|Finland|Uusimaa|Helsinki
103.145.45.6:55443|Bangladesh|Dhaka Division|Nāgarpur
103.159.46.125:83|India|Gujarat|Ahmedabad
114.88.240.115:55443|China|Shanghai|Shanghai
139.255.10.234:8080|Indonesia|Jakarta|Jakarta
103.109.124.213:5555|Indonesia|North Sumatra|Medan
103.148.201.76:8080|Indonesia|Central Java|Surakarta
5.44.60.133:8080|Russia|Perm Krai|Perm
46.122.7.149:8080|Slovenia|Pesnica|Pesnica
197.248.171.189:5566|Kenya|Nairobi Province|Nairobi
103.144.18.94:8083|Indonesia|East Java|Jember
102.68.128.215:8080|Libya|Tripoli|Tripoli
103.77.10.22:8080|Pakistan|Punjab|Lahore
5.202.191.226:8080|Iran|Tehran|Tehran
221.217.50.66:9000|China|Beijing|Beijing
103.147.77.66:5021|Indonesia|West Nusa Tenggara|Sumbawa Besar
114.6.87.177:60811|Indonesia|Jakarta|Jakarta
113.161.85.176:19132|Vietnam|Ho Chi Minh|Ho Chi Minh City
62.176.12.111:8080|Russia|Moscow|Moscow
71.19.249.118:8001|United States|Virginia|Virginia Beach
188.165.255.116:3128|France|Hauts-de-France|Roubaix
45.70.236.123:999|Ecuador|Provincia de Los Rios|Puebloviejo
202.168.69.228:8080|Malaysia|Selangor|Cyberjaya
190.2.210.124:999|Colombia|Departamento de Narino|Tuquerres
103.152.100.155:8080|Pakistan|Punjab|Lahore
102.68.134.94:8080|Libya|Tripoli|Tripoli
41.222.209.12:808|Nigeria|FCT|Abuja
179.184.165.181:8080|Brazil|Minas Gerais|Belo Horizonte
41.222.209.9:808|Nigeria|FCT|Abuja
212.126.96.154:8080|Iraq|Erbil|Ṟuwandiz
41.180.68.195:8080|South Africa|Gauteng|Germiston
190.186.159.17:999|Bolivia|Departamento de Santa Cruz|Santa Cruz
179.1.86.93:8080|Colombia|Departamento del Magdalena|Santa Marta
212.175.55.158:1981|Turkey|Muğla|Mugla
103.163.193.97:83|India|Assam|Bongaigaon
111.225.152.38:8089|China|Hebei|Gaocheng
43.154.116.249:8118|Hong Kong|Central and Western District|Hong Kong
178.176.241.248:8080|Russia|Krasnoyarskiy Kray|Krasnoyarsk
103.135.220.91:8080|Indonesia|Jakarta|Jakarta
103.163.193.254:84|India|Assam|Bongaigaon
202.137.121.109:8080|Philippines|Davao|Davao City
123.25.15.209:9812|Vietnam|Hanoi|Hanoi
200.229.147.2:999|Honduras|Departamento de Comayagua|Valle de Ángeles
190.121.140.233:999|Colombia|Bogota D.C.|Bogotá
103.144.18.67:8082|Indonesia|East Java|Jember
124.223.53.96:7890|China|Guangdong|Shenzhen
39.107.239.209:80|China|Beijing|Beijing
206.62.64.34:8080|Brazil|Parana|Maringá
45.249.78.25:83|India|Telangana|Hyderabad
87.245.209.76:8080|United Kingdom|England|City of London
201.191.20.40:999|Costa Rica|Provincia de Alajuela|Quesada
