117.121.213.94:7497|Thailand|Phuket|Rawai
64.225.115.27:7497|United States|California|Santa Clara
103.120.135.229:33427|Cambodia|Phnom Penh|Phnom Penh
157.230.165.3:7497|United States|California|Santa Clara
27.118.22.37:7497|Vietnam|Hanoi|Hanoi
67.201.33.10:25283|United States|California|Santa Ana
192.252.220.92:17328|United States|California|Los Angeles
203.153.36.37:7497|India|Haryana|Gurugram
199.192.28.108:7497|United States|New York|New York
200.16.68.111:7497|Colombia|Bogota D.C.|Bogotá
192.111.129.145:16894|United States|Georgia|Atlanta
217.150.210.20:7497|Spain|Catalonia|Barcelona
192.111.130.5:17002|United States|Georgia|Atlanta
192.99.101.142:7497|Canada|Quebec|Beauharnois
192.111.139.163:19404|United States|Georgia|Atlanta
192.111.135.17:18302|United States|Georgia|Atlanta
192.111.137.37:18762|United States|Georgia|Atlanta
37.99.224.225:7497|Italy|Veneto|Vigasio
192.111.137.35:4145|United States|Georgia|Atlanta
198.8.94.174:39078|United States|Georgia|Atlanta
88.212.232.212:7497|Russia|Moscow|Moscow
192.252.208.67:14287|United States|Georgia|Atlanta
192.252.211.197:14921|United States|Georgia|Atlanta
192.252.208.70:14282|United States|Georgia|Atlanta
192.111.137.34:18765|United States|Georgia|Atlanta
72.195.34.42:4145|United States|Oklahoma|Oklahoma City
184.178.172.11:4145|United States|Virginia|Roanoke
72.195.34.60:27391|United States|Oklahoma|Oklahoma City
184.178.172.18:15280|United States|Virginia|Roanoke
192.111.139.165:4145|United States|Georgia|Atlanta
72.195.34.58:4145|United States|Oklahoma|Oklahoma City
174.77.111.196:4145|United States|Oklahoma|Oklahoma City
192.111.135.18:18301|United States|Georgia|Atlanta
184.178.172.17:4145|United States|Virginia|Roanoke
98.175.31.195:4145|United States|Virginia|Norfolk
72.210.221.197:4145|United States|Oklahoma|Oklahoma City
72.206.181.123:4145|United States|Oklahoma|Oklahoma City
184.181.217.220:4145|United States|Oklahoma|Oklahoma City
98.162.25.4:31654|United States|Louisiana|Baton Rouge
72.210.208.101:4145|United States|Oklahoma|Oklahoma City
184.178.172.3:4145|United States|Virginia|Roanoke
24.249.199.12:4145|United States|Florida|Milton
72.206.181.105:64935|United States|Oklahoma|Oklahoma City
184.181.217.213:4145|United States|Oklahoma|Oklahoma City
174.75.211.222:4145|United States|Oklahoma|Oklahoma City
192.252.214.20:15864|United States|Georgia|Atlanta
72.195.114.169:4145|United States|Oklahoma|Oklahoma City
80.78.23.49:1080|Sweden|Skåne County|Malmo
72.206.181.103:4145|United States|Oklahoma|Oklahoma City
193.203.61.35:8443|Russia|Tambov Oblast|Tambov
98.162.25.16:4145|United States|Louisiana|Baton Rouge
184.181.217.194:4145|United States|Oklahoma|Oklahoma City
72.210.252.137:4145|United States|Oklahoma|Oklahoma City
174.64.199.79:4145|United States|Oklahoma|Oklahoma City
72.221.172.203:4145|United States|Oklahoma|Oklahoma City
91.218.102.187:1080|Russia|Perm Krai|Lys'va
70.166.167.38:57728|United States|Oklahoma|Oklahoma City
184.178.172.26:4145|United States|Virginia|Roanoke
98.178.72.21:10919|United States|Oklahoma|Oklahoma City
72.195.34.59:4145|United States|Oklahoma|Oklahoma City
98.162.25.7:31653|United States|Louisiana|Baton Rouge
184.178.172.5:15303|United States|Virginia|Roanoke
185.32.120.242:1080|Russia|Kemerovo Oblast|Kemerovo
192.252.215.5:16137|United States|Georgia|Atlanta
45.185.6.35:7497|Brazil|Bahia|Salvador
138.94.92.26:7497|Brazil|Rio Grande do Norte|Acu
45.169.70.9:7497|Brazil|Federal District|Brasília
98.170.57.231:4145|United States|Oklahoma|Oklahoma City
170.238.79.2:7497|Brazil|Sao Paulo|São Paulo
72.195.34.41:4145|United States|Oklahoma|Oklahoma City
201.222.125.37:7497|Bolivia|Departamento de Santa Cruz|Santa Cruz
98.162.25.29:31679|United States|Louisiana|Baton Rouge
37.18.73.94:5566|United States|New York|Brooklyn
13.208.99.150:5000|Japan|Ōsaka|Osaka
138.36.171.244:7497|Brazil|Alagoas|Ouro Branco
51.83.116.7:53614|Taiwan|Yunlin|Yunlin
98.162.96.53:10663|United States|Oklahoma|Oklahoma City
184.178.172.28:15294|United States|Virginia|Roanoke
98.170.57.249:4145|United States|Oklahoma|Oklahoma City
184.181.217.210:4145|United States|Oklahoma|Oklahoma City
98.162.96.41:4145|United States|Oklahoma|Oklahoma City
98.188.47.132:4145|United States|Oklahoma|Oklahoma City
70.166.167.55:57745|United States|Oklahoma|Oklahoma City
174.64.199.82:4145|United States|Oklahoma|Oklahoma City
72.221.171.135:4145|United States|Illinois|Chicago
31.43.203.100:1080|Russia|Altai Krai|Biysk
72.221.164.34:60671|United States|Oklahoma|Oklahoma City
72.221.232.152:4145|United States|Oklahoma|Oklahoma City
212.83.143.191:41669|United States|Virginia|Ashburn
184.178.172.23:4145|United States|Virginia|Roanoke
178.49.236.109:1080|Russia|Novosibirsk Oblast|Novosibirsk
47.242.199.195:1355|Hong Kong|Central and Western District|Hong Kong
72.221.171.130:4145|United States|Illinois|Chicago
37.18.73.60:5566|France|Île-de-France|Paris
82.99.204.198:1080|Iran|Tehran|Tehran
5.161.100.145:1080|United States|Kansas|Wichita
34.172.155.209:8000|United States|Iowa|Council Bluffs
60.12.77.43:7300|China|Zhejiang|Hangzhou
52.74.196.107:38080|Singapore|Central Singapore|Singapore
192.111.138.29:4145|United States|Georgia|Atlanta
192.111.130.2:4145|United States|Georgia|Atlanta
8.210.252.121:48091|Hong Kong|Central and Western District|Central
72.221.232.155:4145|United States|Oklahoma|Oklahoma City
184.178.172.13:15311|United States|Virginia|Roanoke
184.178.172.25:15291|United States|Virginia|Roanoke
72.206.181.97:64943|United States|Oklahoma|Oklahoma City
72.217.216.239:4145|United States|Arizona|Phoenix
98.162.25.23:4145|United States|Louisiana|Baton Rouge
72.210.221.223:4145|United States|Oklahoma|Oklahoma City
212.83.143.159:48024|United States|Virginia|Ashburn
174.77.111.197:4145|United States|Oklahoma|Oklahoma City
95.0.206.51:10820|Turkey|Hatay|İskenderun
198.8.94.170:4145|United States|Georgia|Atlanta
184.181.217.206:4145|United States|Oklahoma|Oklahoma City
72.195.34.35:27360|United States|Oklahoma|Oklahoma City
184.181.217.201:4145|United States|Oklahoma|Oklahoma City
72.195.114.184:4145|United States|Oklahoma|Oklahoma City
72.210.252.134:46164|United States|Oklahoma|Oklahoma City
174.77.111.198:49547|United States|Oklahoma|Oklahoma City
51.210.21.189:1080|France|Hauts-de-France|Gravelines
114.95.154.27:23456|United States|California|Los Angeles
184.178.172.14:4145|United States|Virginia|Roanoke
141.164.36.205:54301|South Korea|Seoul|Seoul
24.249.199.4:4145|United States|Florida|Milton
98.188.47.150:4145|United States|Oklahoma|Oklahoma City
212.83.143.151:22729|United States|Utah|Provo
192.95.50.67:61984|Canada|Quebec|Montreal
13.208.211.148:5000|Japan|Ōsaka|Osaka
212.83.143.159:24541|United States|Arizona|Tempe
125.141.133.99:5566|Netherlands|Flevoland|Dronten
98.162.96.52:4145|United States|Oklahoma|Oklahoma City
192.252.209.155:14455|United States|Georgia|Atlanta
192.111.139.162:4145|United States|Georgia|Atlanta
210.211.122.40:49256|Vietnam|Hanoi|Hanoi
129.226.34.70:443|India|Maharashtra|Mumbai
