113.124.221.59:7890|Hong Kong|Central and Western District|Central
172.105.184.208:8001|Australia|Western Australia|Perth
130.41.15.76:8080|United States|Colorado|Denver
159.224.232.222:3128|Ukraine|Dnipropetrovsk Oblast|Dnipro
171.5.13.238:34599|Thailand|Chon Buri|Ban Nong Sala
103.133.26.107:8181|Indonesia|Central Java|Kudus
68.183.230.116:39409|United States|New York|Buffalo
181.118.158.133:999|Colombia|Bogota D.C.|Bogotá
43.227.129.65:83|India|Andhra Pradesh|Vaddangi
77.105.17.13:6666|Serbia|Belgrade|Belgrade
130.41.55.190:8080|United States|California|Los Angeles
191.97.16.118:999|Venezuela|Distrito Federal|Caracas
106.14.64.22:1080|Australia|New South Wales|Sydney
102.68.128.218:8080|Libya|Tripoli|Tripoli
190.107.233.229:999|Ecuador|Provincia de Pichincha|Hacienda Ibarra
196.216.65.57:8080|Kenya|Nairobi Province|Nairobi
157.119.211.133:8080|India|Andhra Pradesh|Tirupati
200.24.157.115:999|Ecuador|Provincia del Canar|Azogues
71.19.249.118:8001|United States|California|Canyon Country
201.222.45.69:999|Chile|Santiago Metropolitan|Santiago
115.147.16.112:8080|Philippines|Calabarzon|Cainta
103.81.194.174:3125|Indonesia|West Java|Bogor
181.232.190.101:999|Dominican Republic|Provincia de Santo Domingo|Santo Domingo Este
191.92.144.27:8080|Colombia|Antioquia|Medellín
