103.1.105.10:4153|Malaysia|Melaka|Malacca
202.124.43.253:4145|Cambodia|Phnom Penh|Phnom Penh
183.88.240.53:4145|Thailand|Bangkok|Samphanthawong
114.141.61.2:4145|Indonesia|Banten|Tangerang
125.25.184.10:4145|Thailand|Chachoengsao|Ban Pho
103.153.140.241:4153|India|Tamil Nadu|Coimbatore
119.93.122.233:4145|Philippines|Central Luzon|Olongapo City
103.215.148.17:43928|India|Maharashtra|Pune
119.17.192.97:1080|Vietnam|Hanoi|Hanoi
220.174.210.128:4145|China|Hainan|Haikou
116.199.170.1:4145|India|Karnataka|Bengaluru
91.83.42.1:44550|Hungary|Budapest|Budapest
217.66.206.155:5678|Iran|Tehran|Tehran
109.122.81.1:57553|Serbia|Kolubara|Brgule
109.122.86.234:4153|Serbia|Central Serbia|Belgrade
91.150.77.58:56921|Serbia|Vojvodina|Jarak
90.181.150.211:4145|Czechia|Hlavni mesto Praha|Prague
190.89.90.58:4153|Brazil|Pernambuco|Vitoria de Santo Antao
45.70.204.17:4145|Brazil|Ceara|Fortaleza
131.196.180.1:4153|Argentina|Cordoba|Córdoba
177.87.230.1:43573|Brazil|Santa Catarina|Tubarao
181.212.10.89:4153|Chile|Region de Valparaiso|Villa Alemana
202.75.97.82:38238|Indonesia|Jakarta|Jakarta
202.124.46.102:4145|Cambodia|Phnom Penh|Phnom Penh
116.204.229.97:4145|Bangladesh|Dhaka Division|Dhaka
193.123.254.68:31916|South Korea|Incheon|Incheon
223.223.198.206:6003|Hong Kong|Central and Western District|Central
173.195.27.153:10091|United States|Oklahoma|Lawton
103.144.161.104:8291|Bangladesh|Dhaka Division|Dhaka
189.201.187.3:4145|Mexico|Aguascalientes|Aguascalientes
187.157.153.214:5678|Mexico|Veracruz|Veracruz
103.115.255.73:51372|Bangladesh|Dhaka Division|Khanbaniara
70.90.67.140:54321|United States|Florida|Sarasota
103.138.27.129:1080|Bangladesh|Chittagong|Laksham
5.22.154.50:32127|Slovakia|Nitra|Jelenec
201.159.103.97:31337|Mexico|Nuevo León|San Nicolás de los Garza
185.32.4.98:4153|Poland|West Pomerania|Szczecin
83.168.84.62:4153|Poland|West Pomerania|Szczecin
77.46.138.37:33608|Serbia|Central Serbia|Belgrade
14.102.61.94:5678|India|Uttar Pradesh|Mathura
94.182.26.44:4153|Iran|Kerman|Rafsanjan
177.12.177.21:4153|Brazil|Rio de Janeiro|Belford Roxo
185.89.65.170:33744|Poland|Łódź Voivodeship|Tomaszów Mazowiecki
131.0.87.225:52017|Brazil|Sao Paulo|Ourinhos
190.11.198.89:4153|Argentina|Cordoba|Monte Buey
103.234.128.70:38157|China|Jiangsu|Suzhou
103.58.75.24:5678|Bangladesh|Dhaka Division|Dhaka
170.254.255.193:45816|Brazil|Paraíba|Mataraca
37.18.73.60:5566|United States|Florida|Miami
103.114.96.126:8291|Bangladesh|Chittagong|Feni
37.187.133.177:55208|South Korea|Seoul|Gangnam-gu
220.176.250.190:33080|China|Jiangxi|Dunhou
182.16.240.49:30617|Indonesia|Jakarta|Kuningan Barat
103.94.133.93:4153|Indonesia|Banten|Tangerang
103.151.140.188:4145|Indonesia|Lampung|Bandar Lampung
103.163.36.40:5678|Indonesia|East Java|Blitar
103.134.180.97:4153|India|Tamil Nadu|Vellore
103.35.111.101:4145|Bangladesh|Dhaka Division|Dhaka
103.116.118.10:4145|Bangladesh|Dhaka Division|Dhaka
64.89.249.1:47124|United States|Maine|Houlton
163.53.205.225:4153|India|Tamil Nadu|Chennai
218.26.101.226:53813|China|Beijing|Beijing
212.3.105.11:4145|Ukraine|Dnipropetrovsk Oblast|Kryvyi Rih
120.79.112.57:1284|Portugal|Coimbra|Miranda do Corvo
103.114.96.93:1080|Bangladesh|Chittagong|Feni
190.2.210.126:5678|Colombia|Departamento de Narino|Tuquerres
177.12.178.9:4153|Brazil|Rio de Janeiro|Belford Roxo
177.55.247.181:5678|Brazil|Ceara|Fortaleza
94.40.127.166:4145|Poland|Mazovia|Warsaw
170.79.182.82:11337|Argentina|Mendoza|San Martin
177.128.44.129:31337|Brazil|Rio Grande do Sul|Canoas
