139.59.193.106:7497|Singapore|South West|Singapore
134.209.143.56:7497|United States|California|Santa Clara
157.90.75.16:7497|Germany|Saxony|Falkenstein
37.18.73.94:5566|Germany|Bavaria|Haßfurt
112.54.33.47:7302|Hong Kong|Central and Western District|Central
5.161.100.145:1080|United States|Kansas|Wichita
37.18.73.60:5566|United States|Nevada|Las Vegas
114.241.90.164:23456|United States|California|Los Angeles
188.127.224.46:6654|United States|Virginia|Virginia Beach
34.172.155.209:8000|United States|Iowa|Council Bluffs
124.16.71.143:4781|Hong Kong|Central and Western District|Hong Kong
31.128.248.2:1080|Ukraine|Cherkasy Oblast|Cherkasy
